ikra,474,1,1048,224,6,2
balo,800,1,654,508,9,0
tashin,408,1,516,96,5,3
siam,176,1,1108,32,3,3
romeo,150,1,1144,224,2,3
balo2,1282,1,786,736,14,2
alif,714,1,556,397,7,1
hero,474,1,1048,224,6,2
balo7,800,1,654,508,9,0
tahsan,408,1,516,96,5,3
sayem,176,1,1108,32,3,3
juliet,150,1,1144,224,2,3
never,1282,1,786,736,14,2
nil,714,1,556,397,7,1
ikra,474,1,1048,224,6,2
balo,40,1,654,508,9,0
tashin,8,1,516,96,5,3
siam,16,1,1108,32,3,3
romeo,15,1,1144,224,2,3
balo2,182,1,786,736,14,2
alif,74,1,556,397,7,1
low,494,1,790,256,6,3
high,232,1,646,128,3,3
hey,4238,3,32,224,43,0
kk,0,1,64,32,0,3
player,104,1,140,96,2,3
play,1121,1,84,817,15,2
